28292	28818
26517	3850
37387	2055
35962	14339
6042	26537
1935	3943
8472	28353
25374	5962
641	31285
36135	25278
15743	25081
19343	7583
31459	33560
15288	23277
33005	33894
17265	1053
23359	38230
665	35263
3645	24414
23333	21152
6775	24689
29821	18534
13313	38144
22259	14703
8027	4769
13374	8224
9700	31740
11571	7659
12717	18428
34129	26543
498	9423
13731	2012
30575	33996
26841	16468
23449	2991
21826	7911
33551	14159
11945	3063
23697	18615
33104	15945
22826	8459
35405	13839
27750	26106
26441	29380
30994	3695
22260	11196
28512	39207
19301	5350
12738	8287
32253	939
35838	30061
5842	8820
8935	11705
39361	5145
37268	30907
28168	6896
38069	21856
19503	4655
19115	5815
17483	7911
29106	16700
21508	37300
17483	23098
25587	11650
10131	35779
4120	29235
859	34150
38930	1997
14651	30001
29562	24655
14841	24507
22504	33013
10107	13912
3217	23056
6039	27081
15941	23562
477	4591
37563	26479
4414	35591
39049	29263
20196	22775
17483	23105
32314	17009
26835	31065
6184	22842
25121	12728
39031	34949
13764	37918
10796	537
26582	38817
26905	13912
3597	24390
39265	21024
30442	28546
15503	9203
2837	6151
18549	5527
32842	35185
8540	31649
21728	5128
8327	11068
9591	31513
2864	16463
32398	146
36356	17302
32629	30201
25157	7466
11268	14383
30978	16655
34585	20226
3919	27666
34919	37951
16840	19960
1905	37300
27373	24181
26949	10219
14699	15326
8970	29230
12009	6834
20212	562
24802	10129
3779	27065
25605	3057
528	8982
22131	28163
27646	34212
31502	6740
17915	1551
20203	28784
17340	27902
35896	19635
4034	11372
42	37468
7925	15494
24851	8235
33700	32873
9532	26114
20614	10335
15949	13473
28663	20784
624	18595
31889	7033
2873	28780
8226	20911
6491	22692
27554	29261
26617	19529
1348	20897
30422	27418
18568	11678
4690	8429
20780	12239
13058	9494
32406	8829
27063	22982
38440	25374
11751	2151
19547	16256
16348	18557
11245	32160
15003	20710
12433	1875
35773	35734
3145	16513
36313	11270
23521	508
16648	29430
30876	21563
25775	10500
22377	16059
36138	22581
19302	7588
25201	11524
14494	31201
11679	29771
36450	34404
8754	8537
1373	13115
21315	37382
20781	17937
37557	33978
14512	31360
27686	39263
13017	499
2122	2097
22792	6870
33082	6115
18469	14349
7309	31840
7357	32954
11664	29387
13001	19632
20723	27196
26774	8168
23931	21811
6218	428
21455	6475
1918	4976
8519	8171
19134	29256
2647	38065
15943	26106
26118	24257
28332	27588
29821	18557
29200	33616
12774	10937
28621	15281
38647	19471
31887	1018
11549	15233
356	30916
26391	31395
32333	33431
8448	9105
39092	14659
21302	11828
26541	6494
8406	9607
24128	30669
6580	6976
13990	21874
21473	7527
7750	38562
36166	4620
24	17724
26960	15011
4011	6869
20533	3720
27822	31266
20701	2449
26995	28897
35677	33933
25566	12830
7288	23629
24136	16681
32215	10739
28442	97
29638	31173
39243	4727
27308	25804
29782	39187
21378	26225
15766	7276
3030	29099
26756	15518
27787	38642
19470	3280
13908	13802
10709	30749
4122	26345
18612	35486
7878	10129
32525	442
10017	16278
1996	15548
3269	9778
30950	11651
3777	23738
34951	17102
2501	35213
37808	9086
27104	27418
29731	37331
23712	30217
30239	1039
38065	13423
34734	36645
27672	17697
36830	20315
14108	16109
23945	5385
10882	15860
15480	10739
25921	455
2843	23692
19150	6754
36941	29042
39312	3006
6648	8811
30745	38322
12071	11178
39116	37668
36091	26609
23052	28122
31732	2040
5131	25725
7601	25368
37240	8009
368	21439
18398	26290
36140	36200
17696	10616
7952	19392
733	11468
6986	29190
16498	4944
8981	38980
21629	38898
30530	22222
7745	15149
15002	15760
7168	13912
27757	30868
20884	24702
37739	18870
25618	39185
12868	16468
21004	25668
35803	23861
27823	30200
37691	225
31155	30341
20442	30257
19948	17477
26742	30680
31953	39092
35625	38419
2767	17262
5856	6508
2033	4111
34102	34768
28301	14478
29207	1516
6831	3449
21754	27780
10983	32192
37686	24561
10668	34753
5543	28958
15494	34246
25946	18572
22702	38227
1937	4374
20475	19810
36501	12281
939	17009
2219	3346
37724	20380
33564	9231
17241	15879
31541	30503
4426	26316
24647	20853
38488	38085
21467	18741
31498	11948
13936	38040
28978	5916
17317	35581
6512	10149
36565	5193
8452	13685
39028	35490
7580	35067
9783	16950
4900	10553
1893	15391
37264	4673
18545	2801
4308	24647
33917	22017
3767	28286
16973	22905
9027	15869
29661	5723
11794	38498
9356	16525
18161	16189
12442	16994
17748	18936
6949	2332
31755	37548
5430	37326
34718	25393
23466	5671
15221	39157
2968	20201
31953	14780
2108	25751
1514	27423
28789	12821
37320	19794
38065	28048
28192	393
24627	26504
19881	2211
14666	20315
13055	7583
9956	14535
26845	6754
9999	23085
3057	31657
36421	30696
6976	13916
24856	38180
20012	25547
1395	38570
21392	38221
25837	33809
2303	39065
20204	39265
24026	27458
16026	16288
2766	9158
17647	5144
22003	8192
18120	35995
28027	12167
861	15729
5919	53
10722	38209
33577	14176
13989	6993
11358	27798
6035	11225
26391	14300
31716	20071
13739	15616
1495	11884
27104	12421
7739	25448
26985	25618
10021	26105
27147	16754
24545	19032
1565	30469
31630	5491
4170	3075
29246	2385
35886	31042
21779	13948
33832	17999
4738	5614
19323	2913
15663	3166
24597	9805
25967	30855
34408	8743
4762	37739
37441	8071
12827	12424
6448	38898
4298	28789
8216	16913
15872	25588
35377	24246
24536	33093
15736	9957
1575	23350
23830	37655
38779	27829
5732	10364
18011	654
2060	15379
17116	18637
6946	1102
34471	19228
26622	37817
36678	19424
33873	9017
37951	16044
38398	34132
9555	13190
2249	1185
24943	6169
29395	7208
4976	23753
37273	12871
28790	3579
24315	29715
24962	877
31614	29738
23515	30347
34914	22625
672	15862
37237	23218
25754	12725
37124	13106
934	31434
4832	14060
3102	14255
30905	28119
36381	16551
1201	10679
39182	31661
7396	3555
24962	9351
28971	32971
28117	17658
14993	22537
8161	12889
20786	28510
29193	1039
30668	17886
29056	31593
28749	34708
39393	14649
8783	38931
8276	20832
9162	13355
25361	38315
19921	17038
8472	3057
5991	12273
10131	34154
12799	26717
33983	13602
16558	31193
13578	1102
4803	30102
24013	16600
39315	37492
31297	15017
28151	13484
12963	37529
12855	36391
39198	81
13798	28098
14172	28518
4172	26531
7541	24236
2585	24548
11809	27006
20822	24513
37602	16982
36190	655
27200	22089
18628	18769
10580	14589
1876	34122
31457	34674
14168	25426
27112	25907
35889	26455
36053	37481
30139	3896
22220	11796
28076	28292
36475	8707
24104	13238
6791	38551
19382	26025
31004	6728
20853	28762
35392	1408
38362	2394
36521	34843
27201	29171
982	26864
33339	10487
11825	2284
2873	22876
3104	27078
7158	37292
36782	35486
36281	32793
29616	21810
36796	8164
